,,GWRV Last (V),PSV Last (V),G1R Last,G2R Last,G3R Last
96:00:08,345608,0.629,8.667,223.3,222.9,222.7
96:00:09,345609,0.628,8.667,223.3,222.9,222.7
96:00:10,345610,0.628,8.667,223.3,222.9,222.7
96:00:11,345611,0.628,8.666,223.3,222.9,222.7
96:00:12,345612,0.626,8.667,223.3,222.9,222.7
96:00:13,345613,0.624,8.666,223.3,222.9,222.8
96:00:14,345614,0.626,8.667,223.3,222.9,222.7
96:00:15,345615,0.628,8.665,223.4,223.0,222.8
96:00:16,345616,0.623,8.666,223.3,222.9,222.8
96:00:17,345617,0.623,8.667,223.3,222.9,222.7
96:00:18,345618,0.622,8.666,223.3,222.9,222.7
96:00:19,345619,0.619,8.666,223.3,222.9,222.7
96:00:20,345620,0.618,8.666,223.3,222.9,222.7
96:00:21,345621,0.621,8.666,223.3,222.9,222.8
96:00:22,345622,0.617,8.667,223.3,222.9,222.7
96:00:23,345623,0.617,8.667,223.3,222.9,222.8
96:00:24,345624,0.618,8.667,223.3,222.9,222.8
96:00:25,345625,0.613,8.667,223.3,222.9,228.7
96:00:26,345626,0.611,8.666,223.3,222.9,239.1
96:00:27,345627,0.616,8.667,223.3,222.9,239.1
96:00:28,345628,0.616,8.666,223.3,222.9,239.1
96:00:29,345629,0.611,8.668,223.3,222.9,239.1
96:00:30,345630,0.614,8.667,223.3,223.0,239.1
96:00:31,345631,0.611,8.666,223.3,223.0,239.1
96:00:32,345632,0.609,8.667,223.3,223.0,239.1
96:00:33,345633,0.609,8.666,223.3,223.0,239.1
96:00:34,345634,0.611,8.667,223.3,223.0,239.1
96:00:35,345635,0.609,8.668,223.3,222.9,239.0
96:00:36,345636,0.611,8.666,223.3,223.0,239.1
96:00:37,345637,0.606,8.667,223.3,223.0,239.1
96:00:38,345638,0.604,8.665,223.4,223.1,239.2
96:00:39,345639,0.609,8.668,223.3,223.0,239.0
96:00:40,345640,0.604,8.668,223.3,223.0,239.1
96:00:41,345641,0.601,8.666,223.4,239.3,239.1
96:00:42,345642,0.598,8.668,223.3,239.3,239.1
96:00:43,345643,0.601,8.664,223.4,239.4,239.2
96:00:44,345644,0.603,8.666,223.3,239.3,239.1
96:00:45,345645,0.601,8.666,223.4,239.3,239.1
96:00:46,345646,0.591,8.665,223.4,239.3,239.1
96:00:47,345647,0.601,8.666,223.4,239.3,239.1
96:00:48,345648,0.598,8.664,223.5,239.4,239.2
96:00:49,345649,0.596,8.664,239.7,239.4,239.2
96:00:50,345650,0.596,8.666,239.7,239.3,239.1
96:00:51,345651,0.596,8.663,239.8,239.4,239.2
96:00:52,345652,0.601,8.668,239.6,239.2,239.0
96:00:53,345653,0.589,8.665,239.7,239.3,239.2
96:00:54,345654,0.591,8.664,239.7,239.3,239.2
96:00:55,345655,0.589,8.667,239.7,239.3,239.1
96:00:56,345656,0.589,8.664,239.7,239.4,239.2
96:00:57,345657,0.589,8.666,239.7,239.3,239.1
96:00:58,345658,0.584,8.666,239.7,239.3,239.1
96:00:59,345659,0.589,8.665,239.7,239.3,239.1
96:01:00,345660,0.584,8.667,239.6,239.2,239.1
96:01:01,345661,0.584,8.665,239.7,239.3,239.1
96:01:02,345662,0.584,8.668,239.6,239.2,239.0
96:01:03,345663,0.584,8.663,239.8,239.4,239.1
96:01:04,345664,0.581,8.665,239.7,239.3,239.1
96:01:05,345665,0.582,8.668,239.6,239.2,239.0
96:01:06,345666,0.577,8.662,239.8,239.4,239.2
96:01:07,345667,0.572,8.66,239.8,239.4,239.3
96:01:08,345668,0.572,8.667,239.6,239.2,239.0
96:01:09,345669,0.565,8.668,239.5,239.2,239.1
96:01:10,345670,0.565,8.665,239.6,239.2,239.1
96:01:11,345671,0.574,8.68,239.1,238.8,238.6
96:01:12,345672,0.572,8.661,239.9,239.4,239.1
96:01:13,345673,0.573,8.676,239.0,239.0,238.6
96:01:14,345674,0.570,8.664,239.7,239.3,239.1
96:01:15,345675,0.566,8.664,239.7,239.3,239.1
96:01:16,345676,0.563,8.665,239.7,239.3,239.1
96:01:17,345677,0.552,8.664,239.7,239.3,239.1
96:01:18,345678,0.560,8.664,239.7,239.3,239.1
96:01:19,345679,0.554,8.664,239.7,239.3,239.1
96:01:20,345680,0.565,8.664,239.7,239.3,239.1
96:01:21,345681,0.551,8.664,239.7,239.3,239.1
96:01:22,345682,0.558,8.664,239.7,239.3,239.1
96:01:23,345683,0.549,8.663,239.7,239.3,239.1
96:01:24,345684,0.551,8.664,239.7,239.3,239.1
96:01:25,345685,0.549,8.663,239.7,239.3,239.1
96:01:26,345686,0.546,8.663,239.7,239.3,239.1
96:01:27,345687,0.551,8.663,239.7,239.3,239.1
96:01:28,345688,0.546,8.663,239.7,239.3,239.1
96:01:29,345689,0.546,8.663,239.7,239.3,239.1
96:01:30,345690,0.551,8.663,239.7,239.3,239.1
96:01:31,345691,0.546,8.663,239.7,239.3,239.1
96:01:32,345692,0.546,8.664,239.7,239.3,239.1
96:01:33,345693,0.544,8.663,239.7,239.3,239.1
96:01:34,345694,0.541,8.664,239.7,239.3,239.1
96:01:35,345695,0.530,8.663,239.7,239.3,239.1
96:01:36,345696,0.542,8.663,239.7,239.3,239.1
96:01:37,345697,0.541,8.664,239.7,239.3,239.1
96:01:38,345698,0.532,8.663,239.7,239.3,239.1
96:01:39,345699,0.535,8.663,239.7,239.3,239.1
96:01:40,345700,0.534,8.663,239.7,239.3,239.1
96:01:41,345701,0.530,8.663,239.7,239.3,239.1
96:01:42,345702,0.532,8.663,239.7,239.3,239.1
96:01:43,345703,0.532,8.663,239.7,239.3,239.1
96:01:44,345704,0.526,8.663,239.7,239.3,239.1
96:01:45,345705,0.532,8.663,239.7,239.3,239.1
96:01:46,345706,0.525,8.663,239.7,239.3,239.1
96:01:47,345707,0.529,8.663,239.7,239.3,239.1
96:01:48,345708,0.523,8.662,239.7,239.4,239.1
96:01:49,345709,0.522,8.662,239.7,239.4,239.2
96:01:50,345710,0.520,8.663,239.7,239.3,239.1
96:01:51,345711,0.520,8.662,239.7,239.4,239.2
96:01:52,345712,0.518,8.663,239.7,239.3,239.1
96:01:53,345713,0.523,8.662,239.7,239.4,239.1
96:01:54,345714,0.524,8.663,239.7,239.3,239.1
96:01:55,345715,0.518,8.663,239.7,239.3,239.1
96:01:56,345716,0.515,8.662,239.7,239.4,239.2
96:01:57,345717,0.516,8.663,239.7,239.3,239.1
96:01:58,345718,0.520,8.662,239.7,239.4,239.2
96:01:59,345719,0.515,8.663,239.7,239.4,239.1
